Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
I Think I Love My Wife,2007,11000000,12550605,819163,13369768,R,1 hr 34 min,Comedy,17.0,5.0,8.0,49.0,10,23,33,6.1
Man of Steel,2013,225000000,291045518,377000000,668045518,PG-13,2 hr 23 min,Action,24.0,3.0,20.0,55.0,641,391,"2,591",7.5
The Illusionist,2010,17000000,2231474,3775720,6007194,PG,1 hr 30 min,Animation,8.0,0.0,29.0,68.0,46,15,482,8.7
Stomp the Yard,2007,13000000,61356221,14154902,75511123,PG-13,1 hr 49 min,Drama,16.0,4.0,4.0,44.0,7,10,27,6.9
Aliens in the Attic,2009,45000000,25200412,32680644,57881056,PG,1 hr 26 min,Adventure,3.0,4.0,3.0,42.0,18,12,20,5.7
Drive,2011,15000000,35061555,41915111,76976666,R,1 hr 40 min,Crime,5.0,0.0,38.0,78.0,118,115,"1,266",8.2
Everybody's Fine,2009,21000000,9208876,7234733,16443609,PG-13,1 hr 39 min,Drama,8.0,7.0,10.0,47.0,11,4,44,7.4
The Princess and the Frog,2009,105000000,104400899,162644866,267045765,,1 hr 37 min,Adventure,6.0,0.0,23.0,73.0,44,12,149,7.4
Imagine That,2009,55000000,16123323,6861871,22985194,PG,1 hr 47 min,Comedy,8.0,3.0,12.0,54.0,7,8,17,5.6
Mr. Brooks,2007,20000000,28549298,19894436,48443734,R,2 hr,Crime,19.0,7.0,8.0,45.0,25,17,291,8.8
Redline,2007,26000000,6881022,1386357,8267379,PG-13,1 hr 35 min,Action,4.0,8.0,0.0,24.0,1,15,7,3.7
The Wolfman,2010,150000000,61979680,77810085,139789765,R,1 hr 43 min,Drama,19.0,9.0,8.0,43.0,68,39,64,5.5
The Brothers Solomon,2007,10000000,900926,134130,1035056,R,1 hr 33 min,Comedy,6.0,10.0,1.0,32.0,3,7,33,7.8
The Boxtrolls,2014,60000000,50837305,57418465,108255770,PG,1 hr 36 min,Adventure,14.0,3.0,20.0,61.0,27,15,103,6.9
The Incredible Burt Wonderstone,2013,30000000,22537881,4900000,27437881,PG-13,1 hr 40 min,Comedy,21.0,7.0,7.0,44.0,79,22,59,5.9
Dallas Buyers Club,2013,5000000,27298285,28438303,55736588,R,1 hr 57 min,Biography,0.0,0.0,47.0,84.0,29,12,540,8.2
Everybody Wants to Be Italian,2007,3000000,351416,181310,532726,R,1 hr 45 min,Comedy,,,,,,,,
The Messenger,2009,6500000,1109660,485757,1595417,R,1 hr 53 min,Drama,4.0,1.0,27.0,77.0,4,4,46,7.5
Jack Reacher,2012,60000000,80070736,138269859,218340595,PG-13,2 hr 10 min,Action,17.0,5.0,14.0,50.0,131,63,253,6.3
R.I.P.D.,2013,130000000,33618855,44705365,78324220,PG-13,1 hr 36 min,Action,5.0,22.0,0.0,25.0,96,109,82,4.7
Case 39,2009,26000000,13261851,14928752,28190603,R,1 hr 49 min,Horror,2.0,12.0,1.0,25.0,26,17,56,6.6
Death at a Funeral,2007,9000000,8580428,38208985,46789413,R,1 hr 30 min,Comedy,7.0,0.0,23.0,67.0,20,19,87,6.9
Mamma Mia!,2008,52000000,144169664,465727141,609896805,PG-13,1 hr 48 min,Comedy,21.0,3.0,13.0,51.0,60,63,229,6.9
Not Easily Broken,2009,5000000,10572742,154167,10726909,PG-13,1 hr 39 min,Drama,11.0,4.0,3.0,43.0,1,1,4,6.5
Scary Movie 5,2013,20000000,32015787,46362957,78378744,PG-13,1 hr 28 min,Comedy,0.0,16.0,0.0,11.0,51,269,64,2.7
Star Trek,2009,150000000,257730019,127950427,385680446,PG-13,2 hr 7 min,Action,3.0,0.0,43.0,82.0,126,143,"1,259",7.9
Forgetting Sarah Marshall,2008,30000000,63172463,42660794,105833257,R,1 hr 51 min,Comedy,8.0,0.0,29.0,67.0,26,27,212,7.5
The Hills Have Eyes 2,2007,15000000,20804166,16893607,37697773,R,1 hr 29 min,Horror,,,,,,,,
