Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
Out of Time,2003,50000000,41088845,14406718,55495563,PG-13,1 hr 45 min,Crime,16.0,0.0,19.0,63.0,18,7,64,7.9
Runaway Jury,2003,60000000,49443628,30710512,80154140,PG-13,2 hr 7 min,Crime,11.0,1.0,26.0,61.0,15,2,143,9.1
Two Weeks Notice,2002,60000000,93354851,105688391,199043242,PG-13,1 hr 41 min,Comedy,8.0,11.0,11.0,42.0,9,1,23,8
Anything Else,2003,18000000,3212310,10372765,13585075,R,1 hr 48 min,Comedy,16.0,12.0,9.0,43.0,13,7,18,6.3
Agent Cody Banks,2003,28000000,47938330,10857484,58795814,PG,1 hr 42 min,Action,12.0,6.0,6.0,41.0,23,13,21,5.7
Hey Arnold! The Movie,2002,3000000,13728902,1520406,15249308,PG,1 hr 16 min,Adventure,13.0,4.0,6.0,47.0,8,8,19,6.2
Love Actually,2003,40000000,59696144,185235622,244931766,R,2 hr 15 min,Comedy,16.0,4.0,21.0,55.0,33,16,296,8.6
Tears of the Sun,2003,75000000,43734876,42733286,86468162,R,2 hr 1 min,Action,17.0,7.0,12.0,48.0,21,7,27,6.6
Twisted,2004,50000000,25198598,15756005,40954603,R,1 hr 37 min,Crime,7.0,26.0,1.0,26.0,3,43,10,1.9
Bruce Almighty,2003,81000000,242829261,241763613,484592874,PG-13,1 hr 41 min,Comedy,18.0,7.0,10.0,46.0,67,9,178,7.3
21 Grams,2003,20000000,16290476,44137363,60427839,R,2 hr 4 min,Crime,5.0,5.0,31.0,70.0,24,8,167,7.9
House of Sand and Fog,2003,16500000,13040288,3723516,16763804,R,2 hr 6 min,Crime,10.0,1.0,30.0,71.0,7,1,138,9.2
Open Range,2003,22000000,58331254,9965039,68296293,R,2 hr 19 min,Action,10.0,1.0,29.0,67.0,4,9,134,8.9
Peter Pan,2003,100000000,48462608,73512403,121975011,PG,1 hr 53 min,Adventure,10.0,1.0,22.0,64.0,15,13,69,7.6
Radio,2003,35000000,52333738,959890,53293628,PG,1 hr 49 min,Biography,18.0,10.0,4.0,38.0,6,7,47,8.1
Spider-Man 2,2004,200000000,373585825,415390628,788976453,PG-13,2 hr 7 min,Action,4.0,0.0,37.0,83.0,80,60,"1,219",8.6
Because of Winn-Dixie,2005,14000000,32647042,942385,33589427,PG,1 hr 46 min,Comedy,16.0,2.0,9.0,54.0,11,3,17,7.1
Bridget Jones: The Edge of Reason,2004,40000000,40226215,224900703,265126918,R,1 hr 48 min,Comedy,17.0,11.0,9.0,44.0,23,6,45,7.3
Cars,2006,120000000,244082982,217900167,461983149,,1 hr 57 min,Animation,9.0,1.0,29.0,73.0,104,51,450,7.4
Daddy Day Care,2003,60000000,104297061,60136806,164433867,PG,1 hr 32 min,Comedy,17.0,11.0,3.0,39.0,11,13,21,5.6
The Hebrew Hammer,2003,2000000,82157,12458,94615,R,1 hr 25 min,Comedy,,,,,,,,
Hidalgo,2004,100000000,67303450,40737172,108040622,PG-13,2 hr 16 min,Action,16.0,2.0,18.0,54.0,10,5,36,7.6
House of the Dead,2003,12000000,10249719,3568462,13818181,R,1 hr 30 min,Action,2.0,13.0,0.0,15.0,9,111,10,1.3
The Incredibles,2004,92000000,261441092,370165621,631606713,,1 hr 55 min,Action,1.0,0.0,40.0,90.0,54,27,"1,004",8.8
The Italian Job,2003,60000000,106128601,69941570,176070171,PG-13,1 hr 51 min,Action,8.0,1.0,28.0,68.0,27,9,267,8.8
Mission: Impossible III,2006,150000000,134029801,264449696,398479497,PG-13,2 hr 6 min,Action,11.0,0.0,31.0,66.0,89,38,457,7.8
A Sound of Thunder,2005,80000000,1900451,9765014,11665465,PG-13,1 hr 41 min,Action,6.0,17.0,3.0,24.0,10,21,10,3.6
Looney Tunes: Back in Action,2003,80000000,20991364,47523480,68514844,PG,1 hr 33 min,Adventure,14.0,0.0,18.0,64.0,22,6,38,7
Alex & Emma,2003,30000000,14218698,1150199,15368897,PG-13,1 hr 36 min,Comedy,,,,,,,,
Resident Evil: Apocalypse,2004,45000000,51201453,78141316,129342769,R,1 hr 34 min,Action,13.0,11.0,2.0,35.0,77,61,149,6.3
Sahara,2005,130000000,68671925,50568426,119240351,PG-13,2 hr 4 min,Action,23.0,6.0,4.0,41.0,29,10,95,7.9
The Alamo,2004,107000000,22414961,3405000,25819961,PG-13,2 hr 17 min,Drama,24.0,5.0,9.0,47.0,6,3,10,6.3
Big Fish,2003,70000000,66809693,56408731,123218424,PG-13,2 hr 5 min,Adventure,15.0,3.0,24.0,58.0,31,8,336,8.7
The Day After Tomorrow,2004,125000000,186740799,365898772,552639571,PG-13,2 hr 4 min,Action,16.0,6.0,16.0,47.0,88,26,142,6.7
Elf,2003,33000000,174626840,47044933,221671773,PG,1 hr 37 min,Comedy,8.0,2.0,28.0,64.0,33,10,295,8.6
How to Deal,2003,16000000,14195227,195102,14390329,PG-13,1 hr 41 min,Comedy,15.0,7.0,7.0,45.0,2,0,14,8.9
Kingdom of Heaven,2005,130000000,47398413,170724214,218122627,R,2 hr 24 min,Action,14.0,1.0,25.0,63.0,44,18,250,8.1
Underworld,2003,22000000,51970690,43737767,95708457,R,2 hr 1 min,Action,15.0,10.0,9.0,42.0,46,25,471,8.8
2 Fast 2 Furious,2003,76000000,127154901,109195760,236350661,PG-13,1 hr 47 min,Action,15.0,14.0,7.0,38.0,125,79,264,6.9
Freaky Friday,2003,20000000,110230332,50616000,160846332,PG,1 hr 37 min,Comedy,5.0,0.0,4.0,51.0,1,0,4,7.8
Honey,2003,18000000,30308417,31919978,62228395,PG-13,1 hr 34 min,Drama,17.0,11.0,2.0,37.0,8,8,13,6.3
Jackass: The Movie,2002,5000000,64255312,15238519,79493831,R,1 hr 27 min,Action,3.0,5.0,6.0,42.0,15,14,90,7.5
Laws of Attraction,2004,32000000,17871255,12160619,30031874,PG-13,1 hr 30 min,Comedy,21.0,10.0,5.0,38.0,8,5,12,5.8
The Mother,2003,2500000,1063163,1976424,3039587,R,1 hr 52 min,Drama,7.0,0.0,20.0,72.0,0,0,7,7.9
Shade,2003,10000000,25032,434066,459098,R,1 hr 41 min,Crime,,,,,,,,
Suspect Zero,2004,27000000,8725813,2690262,11416075,R,1 hr 39 min,Crime,14.0,11.0,4.0,37.0,4,47,10,1.8
The Texas Chainsaw Massacre,2003,9500000,80571655,26791053,107362708,R,1 hr 38 min,Horror,15.0,13.0,5.0,38.0,39,30,83,6.4
Dickie Roberts: Former Child Star,2003,17000000,22738671,1030834,23769505,PG-13,1 hr 38 min,Comedy,16.0,12.0,3.0,36.0,1,4,9,6.6
Head of State,2003,35200000,38125247,495237,38620484,PG-13,1 hr 35 min,Comedy,16.0,8.0,8.0,44.0,4,1,9,7.6
Lara Croft Tomb Raider: The Cradle of Life,2003,95000000,65660196,94439026,160099222,PG-13,1 hr 57 min,Action,23.0,7.0,4.0,43.0,42,21,166,8
The Last Samurai,2003,140000000,111127263,343500000,454627263,R,2 hr 34 min,Action,20.0,4.0,19.0,55.0,34,24,255,7.8
Pirates of the Caribbean: The Curse of the Black Pearl,2003,140000000,305413918,348850097,654264015,PG-13,2 hr 23 min,Action,12.0,3.0,25.0,63.0,37,24,850,8.7
Biker Boyz,2003,24000000,22076772,1433849,23510621,PG-13,1 hr 50 min,Action,,,,,,,,
Envy,2004,40000000,13562325,931711,14494036,PG-13,1 hr 39 min,Comedy,12.0,16.0,2.0,31.0,5,33,7,2.1
Good Boy,2003,18000000,37667746,7822870,45490616,PG,1 hr 27 min,Comedy,,,,,,,,
The Great Raid,2005,80000000,10167373,610002,10777375,R,2 hr 12 min,Action,14.0,5.0,10.0,48.0,6,5,30,7.9
Mystic River,2003,25000000,90135191,66460000,156595191,R,2 hr 18 min,Crime,4.0,1.0,37.0,84.0,34,65,293,7
Secondhand Lions,2003,30000000,42070939,6189340,48260279,PG,1 hr 51 min,Comedy,17.0,4.0,12.0,52.0,3,0,25,8.7
The Stepford Wives,2004,90000000,59484742,43885385,103370127,PG-13,1 hr 33 min,Comedy,17.0,14.0,9.0,42.0,17,43,18,3.3
The Whole Ten Yards,2004,40000000,16328471,9842200,26170671,PG-13,1 hr 38 min,Comedy,9.0,18.0,0.0,24.0,10,45,16,3
Around the World in 80 Days,2004,110000000,24008137,48170758,72178895,PG,2 hr,Action,13.0,10.0,10.0,49.0,36,6,17,5.9
Catwoman,2004,100000000,40202379,41900000,82102379,PG-13,1 hr 44 min,Action,8.0,24.0,3.0,27.0,25,208,48,2.7
Coraline,2009,60000000,75286229,49310608,124596837,PG,1 hr 40 min,Animation,3.0,0.0,35.0,80.0,54,48,588,8.4
Ella Enchanted,2004,31000000,22918387,4470380,27388767,PG,1 hr 36 min,Comedy,17.0,3.0,10.0,53.0,16,13,73,8
The Rundown,2003,85000000,47726342,33255572,80981914,PG-13,1 hr 44 min,Action,13.0,2.0,21.0,59.0,16,6,145,8.7
Malibu's Most Wanted,2003,15000000,34432201,190303,34622504,PG-13,1 hr 26 min,Comedy,16.0,3.0,6.0,43.0,9,8,78,8.5
Man on Fire,2004,70000000,77911774,52923078,130834852,R,2 hr 26 min,Action,17.0,8.0,11.0,47.0,29,9,306,8.8
Thirteen,2003,2000000,4601043,5527917,10128960,R,1 hr 40 min,Drama,10.0,0.0,27.0,70.0,9,9,168,9
Under the Tuscan Sun,2003,18000000,43610723,15268000,58878723,PG-13,1 hr 53 min,Comedy,20.0,3.0,12.0,52.0,5,4,24,7.7
American Wedding,2003,55000000,104565114,128157821,232722935,R,1 hr 36 min,Comedy,14.0,9.0,11.0,43.0,39,10,62,6.7
Dumb and Dumberer: When Harry Met Lloyd,2003,19000000,26276465,12991050,39267515,PG-13,1 hr 25 min,Comedy,3.0,24.0,1.0,19.0,7,43,9,2.6
Freddy vs. Jason,2003,30000000,82622655,34009973,116632628,R,1 hr 37 min,Action,13.0,12.0,4.0,37.0,57,28,334,8.5
Seabiscuit,2003,87000000,120277854,28058591,148336445,PG-13,2 hr 20 min,Drama,4.0,1.0,38.0,72.0,7,5,41,7.3
Torque,2004,40000000,21215059,25331138,46546197,PG-13,1 hr 24 min,Action,9.0,12.0,8.0,41.0,4,12,74,8.4
Hollywood Homicide,2003,75000000,30940691,20201968,51142659,PG-13,1 hr 56 min,Action,17.0,9.0,10.0,47.0,4,5,84,9.3
Wilbur Wants to Kill Himself,2002,4000000,235294,1638188,1873482,R,1 hr 51 min,Comedy,6.0,0.0,20.0,69.0,1,0,9,8.1
Harry Potter and the Goblet of Fire,2005,150000000,290417905,605928323,896346229,PG-13,2 hr 37 min,Adventure,3.0,0.0,35.0,81.0,123,77,856,7.9
The Punisher,2004,33000000,33810189,20889916,54700105,R,2 hr 4 min,Action,15.0,16.0,5.0,33.0,61,24,464,8.8
Fever Pitch,2005,30000000,42071069,8534094,50605163,PG-13,1 hr 44 min,Comedy,4.0,1.0,3.0,55.0,3,3,9,6.9
The Notebook,2004,29000000,81001787,35142739,116144526,PG-13,2 hr 3 min,Drama,8.0,1.0,12.0,57.0,1,0,1,tbd
Saved!,2004,5000000,8940582,1334927,10275509,PG-13,1 hr 32 min,Comedy,15.0,3.0,20.0,62.0,5,2,37,8.1
School of Rock,2003,35000000,81261177,49834437,131095614,PG-13,1 hr 49 min,Comedy,4.0,0.0,37.0,82.0,42,16,350,8.5
Troy,2004,175000000,133378256,364031596,497409852,R,2 hr 43 min,Drama,21.0,4.0,18.0,56.0,72,16,469,8.7
Intermission,2003,5000000,896993,4278222,5175215,R,1 hr 45 min,Comedy,7.0,2.0,18.0,64.0,4,2,12,7.4
My Baby's Daddy,2004,12000000,17669317,821106,18490423,PG-13,1 hr 26 min,Comedy,4.0,11.0,0.0,23.0,1,5,5,4.6
Garden State,2004,2500000,26782316,9043000,35825316,R,1 hr 42 min,Comedy,7.0,0.0,30.0,67.0,10,16,255,8.7
"Legally Blonde 2: Red, White & Blonde",2003,45000000,90186328,34728514,124914842,PG-13,1 hr 35 min,Comedy,15.0,11.0,13.0,47.0,17,10,16,5.7
The Company,2003,15000000,2283914,4131103,6415017,PG-13,1 hr 52 min,Drama,8.0,0.0,24.0,73.0,0,6,16,6.9
Godsend,2004,25000000,14379751,15740920,30120671,PG-13,1 hr 42 min,Action,9.0,23.0,0.0,24.0,9,16,24,6.1
The Ladykillers,2004,35000000,39799191,36866000,76665191,R,1 hr 44 min,Comedy,17.0,5.0,18.0,56.0,30,6,30,6.3
Lost in Translation,2003,4000000,44585453,74100000,118685453,R,1 hr 42 min,Drama,2.0,0.0,42.0,89.0,56,101,542,7.5
The Passion of the Christ,2004,30000000,370782930,241271498,612054428,R,2 hr 7 min,Drama,20.0,9.0,15.0,47.0,50,113,280,6.6
Starsky & Hutch,2004,60000000,88237754,82030996,170268750,PG-13,1 hr 41 min,Comedy,15.0,4.0,21.0,55.0,30,10,232,8.9
Win a Date with Tad Hamilton!,2004,22000000,17071962,4441472,21513434,PG-13,1 hr 35 min,Comedy,25.0,0.0,10.0,52.0,4,5,85,9.1
13 Going on 30,2004,37000000,57231747,39223950,96455697,PG-13,1 hr 38 min,Comedy,15.0,0.0,20.0,57.0,48,13,152,8
Barbershop 2: Back in Business,2004,30000000,65111277,880171,65991448,PG-13,1 hr 46 min,Comedy,14.0,1.0,19.0,59.0,8,2,2,5.8
The Prince and Me,2004,22000000,28176497,9490269,37666766,PG,1 hr 51 min,Comedy,15.0,6.0,10.0,47.0,0,2,21,8.7
Rugrats Go Wild,2003,25000000,39402572,15847924,55250496,PG,1 hr 20 min,Adventure,11.0,10.0,6.0,38.0,9,8,22,6
Something's Gotta Give,2003,80000000,124728738,140600000,265328738,PG-13,2 hr 8 min,Comedy,8.0,1.0,31.0,66.0,13,10,25,6.1
Birth,2004,20000000,5095038,18830454,23925492,R,1 hr 40 min,Drama,15.0,11.0,12.0,50.0,10,10,32,6.5
Calendar Girls,2003,10000000,31041759,62359000,93400759,PG-13,1 hr 48 min,Comedy,12.0,0.0,18.0,60.0,4,1,10,7.3
Catch That Kid,2004,12000000,16703799,247903,16951702,PG,1 hr 31 min,Action,11.0,13.0,3.0,33.0,7,6,9,5.4
Cellular,2004,25000000,32003620,25674701,57678321,PG-13,1 hr 34 min,Action,15.0,1.0,13.0,60.0,18,3,83,8.3
Live Free or Die Hard,2007,110000000,134529403,253626608,388156011,PG-13,2 hr 8 min,Action,6.0,0.0,28.0,69.0,65,69,320,6.9
Eternal Sunshine of the Spotless Mind,2004,20000000,34400301,39636414,74036715,R,1 hr 48 min,Drama,1.0,0.0,40.0,89.0,36,29,907,8.9
Grind,2003,6000000,5123696,17470,5141166,PG-13,1 hr 45 min,Adventure,10.0,12.0,2.0,30.0,4,7,68,8.8
The Haunted Mansion,2003,90000000,75847266,106443000,182290266,PG,1 hr 28 min,Comedy,15.0,15.0,4.0,34.0,11,8,13,5.9
Dirty Dancing: Havana Nights,2004,25000000,14161590,13523426,27685016,PG-13,1 hr 26 min,Drama,19.0,11.0,2.0,39.0,2,4,30,8.7
Paycheck,2003,60000000,53790451,63458507,117248958,PG-13,1 hr 59 min,Action,19.0,8.0,7.0,43.0,23,18,144,8.1
The Polar Express,2004,165000000,187224490,126275943,313500433,,1 hr 40 min,Adventure,9.0,4.0,23.0,61.0,44,27,133,6.9
Spy Kids 3-D: Game Over,2003,38000000,111761982,85339696,197101678,PG,1 hr 24 min,Action,13.0,2.0,15.0,57.0,39,22,33,5.5
Van Helsing,2004,160000000,120177084,179980554,300157638,PG-13,2 hr 11 min,Action,15.0,16.0,7.0,35.0,70,46,111,6.1
The Aviator,2004,110000000,102610330,111109612,213719942,PG-13,2 hr 50 min,Biography,5.0,0.0,36.0,77.0,37,12,408,8.6
Lemony Snicket's A Series of Unfortunate Events,2004,140000000,118634549,92833686,211468235,PG,1 hr 48 min,Adventure,12.0,1.0,24.0,62.0,51,22,130,6.9
The Statement,2003,27000000,765637,314185,1079822,R,2 hr,Drama,20.0,5.0,7.0,45.0,3,1,2,6
Monster,2003,8000000,34469210,24000000,58469210,R,1 hr 49 min,Biography,5.0,0.0,35.0,74.0,17,14,85,7.3
Unleashed,2005,45000000,24537621,26333492,50871113,R,1 hr 43 min,Action,11.0,2.0,18.0,58.0,9,10,158,8.7
Manderlay,2005,14200000,78378,596540,674918,,2 hr 19 min,Drama,6.0,9.0,14.0,46.0,7,9,39,6.9
Along Came Polly,2004,42000000,88097164,90214565,178311729,PG-13,1 hr 30 min,Comedy,21.0,6.0,8.0,44.0,32,20,22,5
50 First Dates,2004,75000000,120908074,77612860,198520934,PG-13,1 hr 39 min,Comedy,18.0,6.0,14.0,48.0,73,23,110,6.5
"I, Robot",2004,120000000,144801023,208332875,353133898,PG-13,1 hr 55 min,Action,18.0,1.0,19.0,59.0,56,17,331,8.2
The Lost City,2005,9600000,2484186,1923825,4408011,R,2 hr 24 min,Drama,14.0,4.0,5.0,47.0,6,7,39,8
A Very Long Engagement,2004,56600000,6524389,62900000,69424389,R,2 hr 13 min,Drama,8.0,0.0,31.0,76.0,5,3,39,7.9
Connie and Carla,2004,27000000,8085771,3255245,11341016,PG-13,1 hr 48 min,Comedy,16.0,6.0,8.0,44.0,4,1,6,6.8
The SpongeBob SquarePants Movie,2004,30000000,85417988,55649139,141067127,PG,1 hr 27 min,Adventure,9.0,1.0,22.0,66.0,23,9,219,8.2
Sky Captain and the World of Tomorrow,2004,70000000,37762677,20184359,57947036,PG,1 hr 46 min,Action,11.0,2.0,23.0,64.0,22,21,115,7.8
Alexander,2004,155000000,34297191,133001001,167298192,R,2 hr 55 min,Action,16.0,18.0,8.0,39.0,47,49,59,5.3
Steamboy,2004,22000000,468867,10401331,10870198,PG-13,2 hr 6 min,Action,9.0,1.0,16.0,66.0,8,8,103,8.8
Superman Returns,2006,270000000,200081192,191000000,391081192,PG-13,2 hr 34 min,Action,11.0,0.0,29.0,72.0,222,302,728,6.5
Waiting...,2005,3000000,16124543,2513147,18637690,R,1 hr 34 min,Comedy,11.0,12.0,3.0,30.0,16,27,54,6.1
The Door in the Floor,2004,7500000,3854624,2860443,6715067,R,1 hr 51 min,Comedy,11.0,2.0,25.0,67.0,5,1,50,9.1
Gothika,2003,40000000,59694580,81896744,141591324,R,1 hr 38 min,Horror,23.0,10.0,3.0,38.0,36,10,25,6
Breakin' All the Rules,2004,10000000,12264319,279935,12544254,PG-13,1 hr 25 min,Comedy,,,,,,,,
Cheaper by the Dozen,2003,40000000,138614544,51924086,190538630,PG,1 hr 38 min,Comedy,18.0,6.0,6.0,46.0,26,12,58,7.1
King Arthur,2004,120000000,51882244,151685613,203567857,PG-13,2 hr 6 min,Action,21.0,8.0,12.0,46.0,35,16,112,7.7
Ocean's Twelve,2004,110000000,125544280,237200000,362744280,PG-13,2 hr 5 min,Crime,8.0,5.0,26.0,58.0,89,32,155,7
Ray,2004,40000000,75331600,48639776,123971376,PG-13,2 hr 32 min,Biography,11.0,0.0,29.0,73.0,14,3,122,8.7
An Unfinished Life,2005,30000000,8586392,10031892,18618284,PG-13,1 hr 48 min,Drama,16.0,4.0,12.0,49.0,4,11,51,7.3
Walking Tall,2004,46000000,46437717,10786173,57223890,PG-13,1 hr 26 min,Action,16.0,9.0,6.0,44.0,27,2,36,7.3
Cinderella Man,2005,88000000,61649911,46890000,108539911,PG-13,2 hr 24 min,Biography,6.0,3.0,31.0,69.0,7,10,285,8.9
De-Lovely,2004,15000000,13456633,5155318,18611951,PG-13,2 hr 5 min,Biography,14.0,4.0,15.0,53.0,6,4,15,7
Ginger Snaps 2: Unleashed,2004,3500000,80372,863253,943625,R,1 hr 34 min,Horror,,,,,,,,
The Game of Their Lives,2005,20000000,375750,13248,388998,PG,1 hr 41 min,Drama,7.0,3.0,3.0,47.0,1,2,9,7.5
The Brothers Grimm,2005,88000000,37916267,67400000,105316267,PG-13,1 hr 58 min,Action,18.0,5.0,13.0,51.0,50,29,114,7.3
Lords of Dogtown,2005,25000000,11273517,2138440,13411957,PG-13,1 hr 47 min,Biography,16.0,3.0,16.0,56.0,9,5,42,7.8
EuroTrip,2004,25000000,17771387,4833766,22605153,R,1 hr 32 min,Comedy,16.0,8.0,6.0,45.0,25,7,104,8
The Bridge of San Luis Rey,2004,24000000,49981,1860565,1910546,PG,2 hr,Drama,4.0,6.0,1.0,25.0,1,5,11,6.4
A Cinderella Story,2004,19000000,51438175,18629734,70067909,PG,1 hr 35 min,Comedy,9.0,21.0,0.0,25.0,22,30,72,6.6
The Forgotten,2004,42000000,67133509,50459322,117592831,PG-13,1 hr 31 min,Drama,21.0,8.0,5.0,43.0,14,80,149,6.4
Garfield,2004,50000000,75369589,127802828,203172417,PG,1 hr 20 min,Animation,10.0,19.0,2.0,27.0,44,33,35,5.2
The Family Stone,2005,18000000,60062868,32821561,92884429,PG-13,1 hr 43 min,Comedy,15.0,2.0,18.0,56.0,23,54,66,5.2
I Heart Huckabees,2004,20000000,12785432,7309477,20094909,R,1 hr 47 min,Comedy,16.0,4.0,20.0,55.0,14,20,64,6.7
Mr. & Mrs. Smith,2005,110000000,186336279,300951367,487287646,PG-13,2 hr,Action,15.0,5.0,21.0,55.0,89,47,497,8.4
Elektra,2005,43000000,24409722,32585924,56995646,PG-13,1 hr 37 min,Action,18.0,16.0,1.0,34.0,38,57,32,4.4
Anchorman: The Legend of Ron Burgundy,2004,26000000,85288303,5361427,90649730,PG-13,1 hr 34 min,Comedy,13.0,2.0,23.0,63.0,52,37,357,7.9
Boogeyman,2005,20000000,46752382,20440477,67192859,PG-13,1 hr 29 min,Drama,6.0,11.0,2.0,32.0,12,86,46,3.8
Robots,2005,75000000,128200012,134311478,262511490,PG,1 hr 31 min,Adventure,8.0,1.0,24.0,64.0,36,10,120,7.6
Shall We Dance,2004,50000000,57890460,112238000,170128460,PG-13,1 hr 46 min,Comedy,14.0,7.0,12.0,47.0,7,4,14,6.6
Walk the Line,2005,28000000,119519402,67278584,186797986,PG-13,2 hr 16 min,Biography,9.0,0.0,30.0,72.0,35,19,299,8.3
Agent Cody Banks 2: Destination London,2004,26000000,23630159,5188836,28818995,PG,1 hr 40 min,Action,11.0,11.0,3.0,32.0,14,18,9,4.5
Blade: Trinity,2004,65000000,52411906,79565998,131977904,R,1 hr 53 min,Action,16.0,12.0,2.0,38.0,62,162,34,2.7
A Home at the End of the World,2004,6500000,1029872,614781,1644653,R,1 hr 37 min,Drama,16.0,1.0,17.0,59.0,2,4,18,7.7
Johnson Family Vacation,2004,12000000,31203964,122219,31326183,PG-13,1 hr 37 min,Comedy,11.0,13.0,0.0,29.0,2,0,5,8.1
The Secret Life of Walter Mitty,2013,90000000,58236838,129896484,188133322,PG,1 hr 54 min,Comedy,22.0,4.0,13.0,54.0,98,40,429,7.5
Chasing Liberty,2004,23000000,12195626,117697,12313323,PG-13,1 hr 41 min,Comedy,20.0,5.0,7.0,46.0,3,2,4,5.3
Wimbledon,2004,31000000,17001133,24681104,41682237,PG-13,1 hr 38 min,Comedy,20.0,0.0,15.0,59.0,14,2,52,8.4
10th & Wolf,2006,8000000,54702,88749,143451,R,1 hr 47 min,Crime,5.0,4.0,1.0,36.0,4,0,5,6.8
Constantine,2005,100000000,75976178,154908550,230884728,R,2 hr 1 min,Action,17.0,8.0,16.0,50.0,51,24,504,8.7
King Kong,2005,207000000,218080025,344283424,562363449,PG-13,3 hr 7 min,Action,6.0,1.0,32.0,81.0,162,245,"1,056",7.4
The Real Cancun,2003,7500000,3825421,1519662,5345083,R,1 hr 36 min,Documentary,,,,,,,,
Valiant,2005,35000000,19478106,42268782,61746888,G,1 hr 16 min,Adventure,17.0,3.0,7.0,45.0,21,10,9,5.2
We Don't Live Here Anymore,2004,3000000,2041014,1320199,3361213,R,1 hr 41 min,Drama,14.0,0.0,23.0,66.0,6,2,15,7.7
Bride & Prejudice,2004,7000000,6605592,18110848,24716440,PG-13,2 hr 2 min,Comedy,12.0,3.0,19.0,55.0,3,10,25,6.6
Raise Your Voice,2004,15000000,10411980,4455534,14867514,PG,1 hr 47 min,Family,10.0,11.0,3.0,33.0,13,16,31,6
Inglourious Basterds,2009,70000000,120540719,200914970,321455689,R,2 hr 33 min,Adventure,,,,,,,,
Little Black Book,2004,35000000,20698668,1336841,22035509,PG-13,1 hr 47 min,Comedy,14.0,14.0,5.0,36.0,3,4,47,9
Welcome to Mooseport,2004,30000000,14470947,144152,14615099,PG-13,1 hr 50 min,Comedy,16.0,16.0,4.0,33.0,2,9,3,3.4
Scary Movie 4,2006,45000000,90710620,87552000,178262620,PG-13,1 hr 23 min,Comedy,11.0,6.0,6.0,40.0,81,48,89,5.8
Son of the Mask,2005,84000000,17018422,42963126,59981548,PG,1 hr 34 min,Comedy,5.0,21.0,0.0,20.0,15,107,140,5.9
The Terminal,2004,60000000,77872883,141227201,219100084,PG-13,2 hr 8 min,Comedy,13.0,5.0,23.0,55.0,40,10,268,8.4
Kinsey,2004,11000000,10254979,6795038,17050017,R,1 hr 58 min,Biography,5.0,0.0,35.0,79.0,12,20,33,5.6
The Life Aquatic with Steve Zissou,2004,50000000,24020403,10788000,34808403,R,1 hr 59 min,Action,15.0,2.0,21.0,62.0,27,14,169,7.8
The Box,2009,30000000,15051977,18282199,33334176,PG-13,1 hr 55 min,Drama,10.0,6.0,8.0,47.0,46,139,39,2.8
New York Minute,2004,30000000,14071441,7218385,21289826,PG,1 hr 31 min,Comedy,17.0,14.0,1.0,33.0,4,8,7,5.2
Dawn of the Dead,2004,26000000,59020957,43257755,102278712,R,1 hr 41 min,Action,12.0,4.0,21.0,59.0,29,25,445,8.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,180000000,291710957,453302158,745013115,PG,2 hr 23 min,Adventure,7.0,1.0,31.0,75.0,117,214,407,5.9
Secret Window,2004,40000000,48022900,44890271,92913171,PG-13,1 hr 36 min,Drama,14.0,7.0,13.0,46.0,41,36,48,5.2
Taking Lives,2004,45000000,32682342,32788187,65470529,R,1 hr 43 min,Crime,16.0,13.0,6.0,38.0,19,96,22,2.1
Dodgeball: A True Underdog Story,2004,20000000,114326736,54096491,168423227,PG-13,1 hr 32 min,Comedy,13.0,5.0,16.0,55.0,29,75,83,4.7
Without a Paddle,2004,19000000,58169327,14859863,73029190,PG-13,1 hr 35 min,Adventure,11.0,15.0,1.0,29.0,12,8,130,9
Babylon A.D.,2008,70000000,22532572,49576628,72109200,PG-13,1 hr 30 min,Action,4.0,10.0,1.0,26.0,49,45,33,4.6
The Matador,2005,12500000,12594698,4761570,17356268,R,1 hr 36 min,Comedy,11.0,1.0,24.0,65.0,9,10,158,8.8
Syriana,2005,50000000,50824620,43150000,93974620,R,2 hr 8 min,Drama,4.0,0.0,36.0,76.0,49,50,279,7.7
Tenacious D in the Pick of Destiny,2006,20000000,8334575,5605388,13939963,R,1 hr 33 min,Adventure,,,,,,,,
The Upside of Anger,2005,12000000,18761993,9475495,28237488,R,1 hr 58 min,Comedy,10.0,3.0,23.0,63.0,4,3,56,9
A Walk Among the Tombstones,2014,28000000,26307600,32526784,58834384,R,1 hr 54 min,Action,15.0,3.0,18.0,57.0,62,15,102,6.4
Whiteout,2009,35000000,10275638,7701029,17976667,R,1 hr 41 min,Action,,,,,,,,
You Got Served,2004,8000000,40363810,10212995,50576805,PG-13,1 hr 35 min,Drama,15.0,8.0,1.0,37.0,10,17,34,6.5
Anacondas: The Hunt for the Blood Orchid,2004,20000000,32238923,38753975,70992898,PG-13,1 hr 37 min,Action,12.0,11.0,5.0,40.0,22,17,13,4.9
